年份,月份,事件類型,詳細資訊
2009,3,公司,成立，當時名為 UberCab。[1]
2010,7,公司,在美國舊金山正式開始營運。[2]
2010,12,團隊,Ryan Graves 卸任首席執行長，由 Travis Kalanick 接任。[3]
2011,2,籌資,首輪募資獲得 Benchmark Capital 投資 1 千 1 百萬美元。[1]
2011,5,擴展,在美國紐約市正式營運。[4]
2011,12,籌資,第二輪募資獲得 3 千 7 百萬美元，投資者包括 Goldman Sachs、Menlo Ventures 和 Bezos Expeditions。[1]
2011,12,擴展,在美國以外擴展其業務，開始擴展業務至法國巴黎。 [5]
2012,7,產品,宣佈推出 UberX 服務，使用成本較低的混合動力車。[6]
2012,7,擴展,在英國倫敦推出服務。[7]
2012,8,競爭,Lyft（Uber 的競爭對手）在舊金山成立。[8]
2013,8,籌資,第三輪募資獲得 2 億 5 千 8 百萬美元，投資者包括 Google Ventures。[1]
2013,8,擴展,擴展業務至印度，在班加羅爾推出第一款產品。[9]
2013,8,擴展,擴展業務至非洲，在南非約翰內斯堡推出第一款產品。[10]
2014,4,產品,在紐約市推出 Uber Rush 快遞服務，聘用自行車司機遞送包裹。 [11]
2014,6,籌資,第四輪募資獲得 12 億美元，擁有超過 180 億美元市值。[12]
2014,7,產品,在中國北京正式營運。[13]
2014,7,產品,在尼日利亞拉各斯正式營運，擴展業務至非洲西部。[14]
2014,8,產品,宣佈推出 UberPool，司機可在其所在位置附近提供共乘服務。[15]
2014,8,產品,宣佈「轉角商店」實驗，提供生活用品配送。[16]
2014,12,籌資,第五輪募資獲得百度投資 6 億美元。[1]
2015,1,擴展,在東非肯尼亞內羅畢推出第一款產品。[17]
2015,1,產品,推出 Uber Cargo 包裹運送服務。此項服務開始於香港。[18]
2015,2,團隊,在匹茲堡成立機器人技術研究機構，生產自動駕駛汽車。[19]
2015,5,團隊,從卡內基梅隆大學國家機器人工程中心挖角 50 名員工。[20]
2015,6,收購,公開收購地圖圖資新創公司 deCarta。[21]
2015,6,法律,加州勞工會首次承認 Uber 司機的勞工身份，全案目前上訴中。[22]
